"Master sample log for 16S/18S samples from KOK1606, MGL1704, KM1713",,,,,,,,,,,,,,,,,
"Compiled from individual cruise logs by Jamie Collins, Armbrust Lab, University of Washington; james.r.collins@aya.yale.edu",,,,,,,,,,,,,,,,,
Sample_ID,Cruise_ID,Cruise_name,Sample_type,Event_ID,Station_ID,Cast,Niskin_bottle,Depth_m,Experiment_ID,Experiment_treatment,Replicate_ID,Experiment_sample_date,Experiment_sample_time_local,Sample_vol_mL,Filter_poresize_µm,Notes,
63881,KOK1606,Gradients_1,CTD,,9,1,11,15,,,,,,2000,3,,
63882,KOK1606,Gradients_1,CTD,,9,1,11,15,,,,,,2000,0.2,,
63903,KOK1606,Gradients_1,CTD,,9,2,6,65,,,,,,2000,3,,
63904,KOK1606,Gradients_1,CTD,,9,2,6,65,,,,,,2000,0.2,,
63919,KOK1606,Gradients_1,CTD,,10,1,10,15,,,,,,2000,3,,
63920,KOK1606,Gradients_1,CTD,,10,1,10,15,,,,,,2000,0.2,,
63951,KOK1606,Gradients_1,CTD,,11,1,6,65,,,,,,2000,3,,
63952,KOK1606,Gradients_1,CTD,,11,1,6,65,,,,,,2000,0.2,,
63963,KOK1606,Gradients_1,CTD,,11,1,11,15,,,,,,1750,3,,
63964,KOK1606,Gradients_1,CTD,,11,1,11,15,,,,,,1750,0.2,,
63965,KOK1606,Gradients_1,CTD,,11,1,11,15,,,,,,1750,3,,
63966,KOK1606,Gradients_1,CTD,,11,1,11,15,,,,,,1750,0.2,,
64039,KOK1606,Gradients_1,CTD,,12,1,10,15,,,,,,2000,3,,
64040,KOK1606,Gradients_1,CTD,,12,1,10,15,,,,,,2000,0.2,,
64041,KOK1606,Gradients_1,CTD,,12,1,10,15,,,,,,2000,3,,
64042,KOK1606,Gradients_1,CTD,,12,1,10,15,,,,,,2000,0.2,,
64076,KOK1606,Gradients_1,CTD,,13,1,10,15,,,,,,2000,3,,
64077,KOK1606,Gradients_1,CTD,,13,1,10,15,,,,,,2000,0.2,,
64078,KOK1606,Gradients_1,CTD,,13,1,10,15,,,,,,2000,3,,
64079,KOK1606,Gradients_1,CTD,,13,1,10,15,,,,,,2000,0.2,,
64088,KOK1606,Gradients_1,CTD,,14,1,11,15,,,,,,2000,3,,
64089,KOK1606,Gradients_1,CTD,,14,1,11,15,,,,,,2000,0.2,,
64090,KOK1606,Gradients_1,CTD,,14,1,11,15,,,,,,2000,3,,
64091,KOK1606,Gradients_1,CTD,,14,1,11,15,,,,,,2000,0.2,,
64099,KOK1606,Gradients_1,CTD,,14,2,,80,,,,,,2000,3,Unable to find fastq files - uncertain whether sequenced,
64100,KOK1606,Gradients_1,CTD,,14,2,,80,,,,,,2000,0.2,Unable to find fastq files - uncertain whether sequenced,
68486,MGL1704,Gradients_2,CTD,1,1,1,7,15,,,,,,4000,3,,
68487,MGL1704,Gradients_2,CTD,1,1,1,7,15,,,,,,4000,0.2,,
68488,MGL1704,Gradients_2,CTD,1,1,1,8,15,,,,,,4000,3,,
68489,MGL1704,Gradients_2,CTD,1,1,1,8,15,,,,,,4000,0.2,,
68498,MGL1704,Gradients_2,CTD,3,2,1,20,15,,,,,,3735,3,,
68499,MGL1704,Gradients_2,CTD,3,2,1,20,15,,,,,,3735,0.2,,
68500,MGL1704,Gradients_2,CTD,3,2,1,21,15,,,,,,4000,3,,
68501,MGL1704,Gradients_2,CTD,3,2,1,21,15,,,,,,4000,0.2,,
68526,MGL1704,Gradients_2,CTD,13,3,2,14,15,,,,,,4000,3,,
68527,MGL1704,Gradients_2,CTD,13,3,2,14,15,,,,,,4000,0.2,,
68528,MGL1704,Gradients_2,CTD,13,3,2,15,15,,,,,,4000,3,,
68529,MGL1704,Gradients_2,CTD,13,3,2,15,15,,,,,,4000,0.2,,
68545,MGL1704,Gradients_2,CTD,17,4,1,20,15,,,,,,4000,3,,
68546,MGL1704,Gradients_2,CTD,17,4,1,20,15,,,,,,4000,0.2,,
68547,MGL1704,Gradients_2,CTD,17,4,1,21,15,,,,,,4000,3,,
68548,MGL1704,Gradients_2,CTD,17,4,1,21,15,,,,,,4000,0.2,,
68563,MGL1704,Gradients_2,CTD,28,5,1,19,15,,,,,,4000,3,,
68564,MGL1704,Gradients_2,CTD,28,5,1,19,15,,,,,,4000,0.2,,
68565,MGL1704,Gradients_2,CTD,28,5,1,20,15,,,,,,4000,3,,
68566,MGL1704,Gradients_2,CTD,28,5,1,20,15,,,,,,4000,0.2,,
68577,MGL1704,Gradients_2,CTD,37,6,1,19,15,,,,,,1000,3,,
68578,MGL1704,Gradients_2,CTD,37,6,1,19,15,,,,,,1000,0.2,,
68579,MGL1704,Gradients_2,CTD,37,6,1,20,15,,,,,,1000,3,,
68580,MGL1704,Gradients_2,CTD,37,6,1,20,15,,,,,,1000,0.2,,
68593,MGL1704,Gradients_2,CTD,39,7,1,15,15,,,,,,800,3,,
68594,MGL1704,Gradients_2,CTD,39,7,1,15,15,,,,,,800,0.2,,
68595,MGL1704,Gradients_2,CTD,39,7,1,16,15,,,,,,900,3,,
68596,MGL1704,Gradients_2,CTD,39,7,1,16,15,,,,,,900,0.2,,
68601,MGL1704,Gradients_2,CTD,43,7,3,12,15,,,,,,1000,3,,
68602,MGL1704,Gradients_2,CTD,43,7,3,12,15,,,,,,1300,0.2,,
68603,MGL1704,Gradients_2,CTD,43,7,3,12,15,,,,,,1000,3,,
68604,MGL1704,Gradients_2,CTD,43,7,3,12,15,,,,,,1000,0.2,,
68647,MGL1704,Gradients_2,CTD,46,8,1,17,15,,,,,,2100,3,,
68648,MGL1704,Gradients_2,CTD,46,8,1,17,15,,,,,,2100,0.2,,
68649,MGL1704,Gradients_2,CTD,46,8,1,17,15,,,,,,2550,3,,
68650,MGL1704,Gradients_2,CTD,46,8,1,17,15,,,,,,2550,0.2,,
68669,MGL1704,Gradients_2,CTD,52,9,1,11,15,,,,,,1400,3,,
68670,MGL1704,Gradients_2,CTD,52,9,1,11,15,,,,,,1400,0.2,,
68671,MGL1704,Gradients_2,CTD,52,9,1,12,15,,,,,,1600,3,,
68672,MGL1704,Gradients_2,CTD,52,9,1,12,15,,,,,,1600,0.2,,
68699,MGL1704,Gradients_2,CTD,56,10,1,17,15,,,,,,2750,3,,
68700,MGL1704,Gradients_2,CTD,56,10,1,17,15,,,,,,2750,0.2,,
68701,MGL1704,Gradients_2,CTD,56,10,1,18,15,,,,,,2800,3,,
68702,MGL1704,Gradients_2,CTD,56,10,1,18,15,,,,,,2800,0.2,,
68717,MGL1704,Gradients_2,CTD,57,11,1,,15,,,,,,2000,3,,
68718,MGL1704,Gradients_2,CTD,57,11,1,,15,,,,,,2000,0.2,,
68719,MGL1704,Gradients_2,CTD,57,11,1,,15,,,,,,1800,3,,
68720,MGL1704,Gradients_2,CTD,57,11,1,,15,,,,,,1800,0.2,,
68749,MGL1704,Gradients_2,CTD,63,12,1,11,15,,,,,,2400,3,,
68750,MGL1704,Gradients_2,CTD,63,12,1,11,15,,,,,,2400,0.2,,
68751,MGL1704,Gradients_2,CTD,63,12,1,12,15,,,,,,2950,3,,
68752,MGL1704,Gradients_2,CTD,63,12,1,12,15,,,,,,2950,0.2,,
68815,MGL1704,Gradients_2,CTD,68,14,1,16,15,,,,,,2450,3,,
68816,MGL1704,Gradients_2,CTD,68,14,1,16,15,,,,,,2450,0.2,,
68817,MGL1704,Gradients_2,CTD,68,14,1,17,15,,,,,,3100,3,,
68818,MGL1704,Gradients_2,CTD,68,14,1,17,15,,,,,,3100,0.2,,
68827,MGL1704,Gradients_2,CTD,75,15,1,11,15,,,,,,2700,3,,
68828,MGL1704,Gradients_2,CTD,75,15,1,11,15,,,,,,2700,0.2,,
68829,MGL1704,Gradients_2,CTD,75,15,1,12,15,,,,,,3100,3,,
68830,MGL1704,Gradients_2,CTD,75,15,1,12,15,,,,,,3100,0.2,,
68881,MGL1704,Gradients_2,CTD,83,16,1,17,12,,,,,,2950,3,,
68882,MGL1704,Gradients_2,CTD,83,16,1,17,12,,,,,,2950,0.2,,
68883,MGL1704,Gradients_2,CTD,83,16,1,18,12,,,,,,2000,3,,
68884,MGL1704,Gradients_2,CTD,83,16,1,18,12,,,,,,2000,0.2,,
68887,MGL1704,Gradients_2,CTD,88,17,1,17,15,,,,,,3400,3,,
68888,MGL1704,Gradients_2,CTD,88,17,1,17,15,,,,,,3400,0.2,,
68889,MGL1704,Gradients_2,CTD,88,17,1,18,15,,,,,,3000,3,,
68890,MGL1704,Gradients_2,CTD,88,17,1,18,15,,,,,,3000,0.2,,
68915,MGL1704,Gradients_2,CTD,100,18,1,11,15,,,,,,2500,3,,
68916,MGL1704,Gradients_2,CTD,100,18,1,11,15,,,,,,2500,0.2,,
68917,MGL1704,Gradients_2,CTD,100,18,1,12,15,,,,,,3900,3,,
68918,MGL1704,Gradients_2,CTD,100,18,1,12,15,,,,,,3900,0.2,,
68791,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,A,2017-06-07,15:25:00,1200,3,,
68792,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,A,2017-06-07,15:25:00,1200,0.2,,
68793,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,A,2017-06-07,15:25:00,1500,3,,
68794,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,A,2017-06-07,15:25:00,1500,0.2,,
68795,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HighFe,A,2017-06-07,15:25:00,1500,3,,
68796,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HighFe,A,2017-06-07,15:25:00,1500,0.2,,
68797,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LowFe,A,2017-06-07,15:25:00,1200,3,,
68798,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LowFe,A,2017-06-07,15:25:00,1200,0.2,,
68799,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LowFe,B,2017-06-07,16:58:00,1500,3,,
68800,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LowFe,B,2017-06-07,16:58:00,1500,0.2,,
68801,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,B,2017-06-07,16:58:00,1000,3,,
68802,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,B,2017-06-07,16:58:00,1000,0.2,,
68803,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,B,2017-06-07,16:58:00,1500,3,,
68804,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,B,2017-06-07,16:58:00,1500,0.2,,
68805,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HighFe,B,2017-06-07,16:58:00,1200,3,,
68806,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HighFe,B,2017-06-07,16:58:00,1200,0.2,,
68807,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,C,2017-06-07,18:29:00,1000,3,Volume remaining must be wrong? We filtered more volume than this...,
68808,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,C,2017-06-07,18:29:00,1000,0.2,Volume remaining must be wrong? We filtered more volume than this...,
68809,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HighFe,C,2017-06-07,18:29:00,300,3,Volume remaining must be wrong? We filtered more volume than this...,
68810,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HighFe,C,2017-06-07,18:29:00,300,0.2,Volume remaining must be wrong? We filtered more volume than this...,
68811,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,C,2017-06-07,18:29:00,200,3,Volume remaining must be wrong? We filtered more volume than this...,
68812,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,C,2017-06-07,18:29:00,200,0.2,Volume remaining must be wrong? We filtered more volume than this...,
68813,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LowFe,C,2017-06-07,18:29:00,300,3,Volume remaining must be wrong? We filtered more volume than this...,
68814,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LowFe,C,2017-06-07,18:29:00,300,0.2,Volume remaining must be wrong? We filtered more volume than this...,
68845,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,FeNP,A,2017-06-09,12:12:00,2000,3,Note: Rachel gave us these samples at 8:45AM,
68846,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,FeNP,A,2017-06-09,12:12:00,2000,0.2,,
68847,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Fe,A,2017-06-09,12:12:00,2500,3,,
68848,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Fe,A,2017-06-09,12:12:00,2500,0.2,,
68849,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NP,A,2017-06-09,12:12:00,2000,3,,
68850,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NP,A,2017-06-09,12:12:00,2000,0.2,,
68851,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,A,2017-06-09,12:12:00,2000,3,,
68852,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,A,2017-06-09,12:12:00,2000,0.2,,
68853,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,B,2017-06-09,12:12:00,2000,3,,
68854,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,B,2017-06-09,12:12:00,2000,0.2,,
68855,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,FeNP,B,2017-06-09,12:12:00,2000,3,,
68856,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,FeNP,B,2017-06-09,12:12:00,2000,0.2,,
68857,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Fe,B,2017-06-09,12:12:00,2500,3,,
68858,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Fe,B,2017-06-09,12:12:00,2500,0.2,,
68859,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NP,B,2017-06-09,12:12:00,2500,3,,
68860,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NP,B,2017-06-09,12:12:00,2500,0.2,,
68861,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,C,2017-06-09,12:12:00,2000,3,,
68862,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,C,2017-06-09,12:12:00,2000,0.2,,
68863,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NP,C,2017-06-09,12:12:00,2000,3,,
68864,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NP,C,2017-06-09,12:12:00,2000,0.2,,
68865,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,C,2017-06-09,12:12:00,2000,3,,
68866,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,C,2017-06-09,12:12:00,2000,0.2,,
68867,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Fe,C,2017-06-09,12:12:00,2500,3,,
68868,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Fe,C,2017-06-09,12:12:00,2500,0.2,,
68939,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,A,2017-06-12,10:49:00,2800,3,,
68940,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,A,2017-06-12,10:49:00,3000,0.2,,
68941,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LNP,A,2017-06-12,10:53:00,3000,3,,
68942,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LNP,A,2017-06-12,10:53:00,3000,0.2,,
68943,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,A,2017-06-12,10:57:00,3000,3,,
68944,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,A,2017-06-12,10:57:00,3000,0.2,,
68945,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HNP,A,2017-06-12,11:05:00,3000,3,,
68946,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HNP,A,2017-06-12,11:05:00,3000,0.2,,
68947,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,B,2017-06-12,13:20:00,2800,3,,
68948,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,B,2017-06-12,13:20:00,2800,0.2,,
68949,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HNP,B,2017-06-12,13:20:00,2500,3,,
68950,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HNP,B,2017-06-12,13:20:00,2500,0.2,,
68951,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LNP,B,2017-06-12,13:20:00,2500,3,,
68952,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LNP,B,2017-06-12,13:20:00,2500,0.2,,
68953,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,B,2017-06-12,13:20:00,3500,3,,
68954,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,B,2017-06-12,13:20:00,3500,0.2,,
68955,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HNP,C,2017-06-12,14:58:00,2000,3,Low DNA,
68956,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,HNP,C,2017-06-12,14:58:00,2000,0.2,Low DNA,
68957,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LNP,C,2017-06-12,15:02:00,3000,3,,
68958,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,LNP,C,2017-06-12,15:02:00,3000,0.2,Low DNA,
68959,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,C,2017-06-12,15:02:00,3000,3,Low DNA,
68960,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,Control,C,2017-06-12,15:02:00,3000,0.2,Low DNA,
68961,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,C,2017-06-12,15:06:00,2500,3,Low DNA,
68962,MGL1704,Gradients_2,experimental,,,,,,resource_ratio,NPFe,C,2017-06-12,15:06:00,2500,0.2,,
68549,MGL1704,Gradients_2,towfish_surface_seawater,20.1,HF7,,,,,,,,,3280,0.2,Sample not size-fractionated,
68550,MGL1704,Gradients_2,towfish_surface_seawater,20.1,HF7,,,,,,,,,2600,0.2,Sample not size-fractionated,
68551,MGL1704,Gradients_2,towfish_surface_seawater,21.1,HF8,,,,,,,,,2200,0.2,Sample not size-fractionated,
68552,MGL1704,Gradients_2,towfish_surface_seawater,21.1,HF8,,,,,,,,,2350,0.2,Sample not size-fractionated,
71502,KM1713,,underway_flow_through,,7,,,25,,,,,,862.747,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71526,KM1713,,underway_flow_through,,7,,,25,,,,,,909.89,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71514,KM1713,,underway_flow_through,,14,,,25,,,,,,1448.636,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71527,KM1713,,underway_flow_through,,14,,,25,,,,,,2466.349,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71537,KM1713,,underway_flow_through,,21,,,25,,,,,,1462.001,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71503,KM1713,,underway_flow_through,,28,,,25,,,,,,1903.292,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71515,KM1713,,underway_flow_through,,32,,,25,,,,,,2040.849,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71516,KM1713,,underway_flow_through,,35,,,25,,,,,,1834.864,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71528,KM1713,,underway_flow_through,,39,,,25,,,,,,1337.498,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71517,KM1713,,underway_flow_through,,42,,,25,,,,,,1879.051,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71518,KM1713,,underway_flow_through,,46,,,25,,,,,,2540.28,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71519,KM1713,,underway_flow_through,,49,,,25,,,,,,1326.339,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71529,KM1713,,underway_flow_through,,63,,,25,,,,,,1533.98,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71520,KM1713,,underway_flow_through,,66,,,25,,,,,,1221.074,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71504,KM1713,,underway_flow_through,,70,,,25,,,,,,1265.594,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71530,KM1713,,underway_flow_through,,73,,,25,,,,,,803.963,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71540,KM1713,,underway_flow_through,,77,,,25,,,,,,2124.399,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71531,KM1713,,underway_flow_through,,80,,,25,,,,,,619.756,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71532,KM1713,,underway_flow_through,,84,,,25,,,,,,1721.008,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71505,KM1713,,underway_flow_through,,87,,,25,,,,,,1564.923,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71541,KM1713,,underway_flow_through,,91,,,25,,,,,,2207.98,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71521,KM1713,,underway_flow_through,,94,,,25,,,,,,1207.268,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71522,KM1713,,underway_flow_through,,105,,,25,,,,,,5064.953,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71533,KM1713,,underway_flow_through,,108,,,25,,,,,,3418.953,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71506,KM1713,,underway_flow_through,,112,,,25,,,,,,4273.683,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71507,KM1713,,underway_flow_through,,114,,,25,,,,,,3172.128,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71542,KM1713,,underway_flow_through,,119,,,25,,,,,,3612.926,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71534,KM1713,,underway_flow_through,,120,,,25,,,,,,2813.503,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71535,KM1713,,underway_flow_through,,126,,,25,,,,,,4852.814,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71523,KM1713,,underway_flow_through,,130,,,25,,,,,,2982.112,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71543,KM1713,,underway_flow_through,,136,,,25,,,,,,3948.864,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71508,KM1713,,underway_flow_through,,137,,,25,,,,,,2946.474,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71524,KM1713,,underway_flow_through,,143,,,25,,,,,,4117.47,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71511,KM1713,,underway_flow_through,,157,,,25,,,,,,5054.623,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71544,KM1713,,underway_flow_through,,158,,,25,,,,,,5417.674,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71512,KM1713,,underway_flow_through,,171,,,25,,,,,,1461.934,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
71513,KM1713,,underway_flow_through,,172,,,25,,,,,,6085.32,0.2,Sample not size-fractionated; depth based on specs for Kilo Moana underway seawater intake,
